time_pos,byte_pos,size,type
0.0,0,0.8050645994832041,I
0.04,62312,0.03786821705426357,P
0.08,65243,0.035891472868217054,P
0.12,68021,0.03363049095607235,P
0.16,70624,0.032829457364341084,P
0.2,73165,0.029328165374677,P
0.24,75435,0.02702842377260982,P
0.28,77527,0.02715762273901809,P
0.32,82697,0.005788113695090439,B
0.36,83145,0.003578811369509044,B
0.4,79629,0.03963824289405685,P
0.44,86709,0.004341085271317829,B
0.48,86118,0.007635658914728683,B
0.52,87045,0.00375968992248062,B
0.56,83422,0.034832041343669254,P
0.6,101161,0.005490956072351421,B
0.64,100454,0.0091343669250646,B
0.68,101586,0.003165374677002584,B
0.72,87336,0.16948320413436693,P
0.76,101831,0.04255813953488372,P
0.8,105125,0.029857881136950905,P
0.84,107436,0.02810077519379845,P
0.88,109611,0.026834625322997414,P
0.92,111688,0.024896640826873383,P
0.96,113615,0.02329457364341085,P
1.0,118338,0.004018087855297158,B
1.04,117857,0.006214470284237726,B
1.08,118649,0.0038501291989664083,B
1.12,115418,0.031511627906976744,P
1.16,131227,0.006098191214470285,B
1.2,130577,0.008397932816537468,B
1.24,131699,0.003281653746770026,B
1.28,118947,0.15025839793281653,P
1.32,131953,0.04387596899224806,P
1.36,135349,0.03237726098191215,P
1.4,137855,0.0279328165374677,P
1.44,140017,0.0253359173126615,P
1.48,141978,0.025025839793281653,P
1.52,143915,0.022713178294573644,P
1.56,145673,0.021175710594315247,P
1.6,150335,0.003914728682170542,B
1.64,149847,0.0063049095607235145,B
1.68,150638,0.0038372093023255815,B
1.72,147312,0.032751937984496125,P
1.76,162671,0.005555555555555556,B
1.8,162022,0.00838501291989664,B
1.84,163101,0.0037209302325581397,B
1.88,150935,0.14324289405684754,P
1.92,163389,0.04285529715762274,P
1.96,166706,0.031124031007751938,P
2.0,169115,0.02640826873385013,P
2.04,171159,0.02636950904392765,P
2.08,173200,0.027209302325581396,P
2.12,178423,0.0039664082687338505,B
2.16,177890,0.006886304909560724,B
2.2,178730,0.003475452196382429,B
2.24,175306,0.033385012919896644,P
2.28,191422,0.0035917312661498707,B
2.32,190652,0.009948320413436693,B
2.36,191700,0.005142118863049096,B
2.4,178999,0.15055555555555555,P
2.44,192098,0.04479328165374677,P
2.48,195565,0.03532299741602067,P
2.52,198299,0.02949612403100775,P
2.56,200582,0.029108527131782944,P
2.6,202835,0.02635658914728682,P
2.64,204875,0.0267312661498708,P
2.68,206944,0.024702842377260982,P
2.72,208856,0.02198966408268734,P
2.76,210558,0.023359173126614986,P
2.8,215063,0.004069767441860465,B
2.84,214563,0.006459948320413436,B
2.88,215378,0.0036304909560723516,B
2.92,212366,0.02838501291989664,P
2.96,226807,0.005633074935400517,B
3.0,226100,0.0091343669250646,B
3.04,227243,0.003979328165374677,B
3.08,215659,0.1348966408268734,P
3.12,227551,0.04484496124031008,P
3.16,231022,0.029211886304909562,P
3.2,233283,0.026511627906976743,P
3.24,235335,0.023578811369509043,P
3.28,237160,0.02363049095607235,P
3.32,241945,0.004095607235142119,B
3.36,241410,0.0069121447028423775,B
3.4,242262,0.0035917312661498707,B
3.44,238989,0.03127906976744186,P
3.48,255243,0.0039664082687338505,B
3.52,254483,0.009819121447028423,B
3.56,255550,0.005426356589147287,B
3.6,242540,0.15430232558139534,P
3.64,255970,0.048217054263565894,P
3.68,259702,0.03227390180878553,P
3.72,262200,0.029651162790697676,P
3.76,264495,0.02847545219638243,P
3.8,266699,0.027467700258397933,P
3.84,268825,0.02475452196382429,P
3.88,270741,0.02260981912144703,P
3.92,272491,0.023074935400516795,P
3.96,274277,0.021925064599483204,P
4.0,278209,0.004069767441860465,B
4.04,278524,0.003359173126614987,B
4.08,275974,0.028875968992248063,P
4.12,289867,0.003669250645994832,B
4.16,289306,0.007248062015503876,B
4.2,290151,0.006227390180878553,B
4.24,278784,0.13594315245478036,P
4.28,290633,0.042829457364341086,P
4.32,293948,0.03554263565891473,P
4.36,296699,0.029315245478036177,P
4.4,298968,0.02616279069767442,P
4.44,300993,0.023901808785529714,P
4.48,302843,0.022739018087855296,P
4.52,304603,0.02524547803617571,P
4.56,309404,0.003772609819121447,B
4.6,308918,0.006279069767441861,B
4.64,309696,0.003475452196382429,B
4.68,306557,0.030503875968992247,P
4.72,321427,0.003927648578811369,B
4.76,320855,0.007390180878552971,B
4.8,321731,0.005801033591731266,B
4.84,309965,0.14069767441860465,P
4.88,322180,0.04029715762273902,P
4.92,325299,0.0362015503875969,P
4.96,328101,0.027958656330749353,P
5.0,330265,0.02422480620155039,P
5.04,332140,0.023863049095607235,P
5.08,333987,0.02363049095607235,P
5.12,335816,0.024069767441860464,P
5.16,340574,0.0035917312661498707,B
5.2,340117,0.0059043927648578815,B
5.24,340852,0.0035142118863049094,B
5.28,337679,0.03149870801033592,P
5.32,352205,0.0039018087855297156,B
5.36,351617,0.007596899224806201,B
5.4,352507,0.00520671834625323,B
5.44,341124,0.13556847545219639,P
5.48,352910,0.04103359173126615,P
5.52,356086,0.032067183462532296,P
5.56,358568,0.026214470284237727,P
5.6,360597,0.02665374677002584,P
5.64,362660,0.02441860465116279,P
5.68,364550,0.02227390180878553,P
5.72,366274,0.020710594315245478,P
5.76,367877,0.02102067183462532,P
5.8,369504,0.01967700258397933,P
5.84,372713,0.0037209302325581397,B
5.88,371027,0.02178294573643411,P
5.92,383801,0.0038501291989664083,B
5.96,383183,0.007984496124031008,B
6.0,384099,0.006459948320413436,B
6.04,373001,0.13155038759689922,P
6.08,384599,0.03935400516795866,P
6.12,387645,0.031266149870801035,P
6.16,390065,0.030180878552971576,P
6.2,392401,0.028695090439276486,P
6.24,394622,0.024560723514211888,P
6.28,396523,0.025775193798449614,P
6.32,398518,0.02118863049095607,P
6.36,400158,0.020917312661498707,P
6.4,401777,0.020710594315245478,P
6.44,403380,0.020465116279069766,P
6.48,404964,0.020478036175710593,P
6.52,406549,0.021679586563307495,P
6.56,420472,0.011550387596899225,B
6.6,418977,0.019315245478036175,B
6.64,421366,0.009496124031007752,B
6.68,408227,0.1388888888888889,P
6.72,422101,0.05103359173126615,P
6.76,426051,0.04419896640826873,P
6.8,429472,0.04272609819121447,P
6.84,432779,0.04355297157622739,P
6.88,436150,0.04785529715762274,P
6.92,439854,0.04733850129198967,P
6.96,443518,0.043630490956072354,P
7.0,446895,0.048992248062015506,P
7.04,455501,0.011834625322997417,B
7.08,450687,0.062196382428940565,P
7.12,456417,0.04235142118863049,P
7.16,473559,0.014263565891472868,B
7.2,474663,0.014198966408268733,B
7.24,459695,0.17912144702842378,P
7.28,475762,0.06239018087855297,P
7.32,480591,0.05304909560723514,P
7.36,484697,0.04954780361757106,P
7.4,488532,0.045671834625322996,P
7.44,492067,0.03901808785529716,P
7.48,495087,0.035813953488372095,P
7.52,497859,0.037118863049095605,P
7.56,504755,0.009328165374677002,B
7.6,505477,0.007325581395348837,B
7.64,500732,0.05197674418604651,P
7.68,509134,0.007648578811369509,B
7.72,506044,0.03992248062015504,P
7.76,523575,0.009664082687338501,B
7.8,522525,0.013565891472868217,B
7.84,524323,0.006602067183462532,B
7.88,509726,0.16536175710594314,P
7.92,524834,0.045839793281653746,P
7.96,528382,0.03701550387596899,P
8.0,531247,0.02928940568475452,P
8.04,533514,0.028126614987080103,P
8.08,535691,0.02843669250645995,P
8.12,537892,0.026304909560723514,P
8.16,539928,0.028372093023255815,P
8.2,542124,0.02487080103359173,P
8.24,547347,0.003863049095607235,B
8.28,546770,0.007454780361757106,B
8.32,547646,0.0035400516795865635,B
8.36,544049,0.03515503875968992,P
8.4,559775,0.007299741602067184,B
8.44,558805,0.012532299741602066,B
8.48,560340,0.00458656330749354,B
8.52,547920,0.1406330749354005,P
8.56,560695,0.04161498708010336,P
8.6,563916,0.03516795865633075,P
8.64,566638,0.031382428940568474,P
8.68,573515,0.005297157622739018,B
8.72,572822,0.008953488372093024,B
