time_pos,byte_pos,size,type
0.0,0,0.8511277128942267,I
0.04,36001,0.04588869450092203,P
0.08,37942,0.034493356659889354,P
0.12,39401,0.029504941131968415,P
0.16,40649,0.02747174807319495,P
0.2,41811,0.027613598751714027,P
0.24,42979,0.02607688306775734,P
0.28,44082,0.02371270509243936,P
0.32,45085,0.023996406449477516,P
0.36,46100,0.025604047472693743,P
0.4,47183,0.023121660598609862,P
0.44,48161,0.025935032389238263,P
0.48,49258,0.023263511277128942,P
0.52,50242,0.01848787176698662,P
0.56,51024,0.020355572367487824,P
0.6,51885,0.01981181143316469,P
0.64,52723,0.018062319731429383,P
0.68,53487,0.019906378552177407,P
0.72,54329,0.020190079909215567,P
0.76,55183,0.01714029032105537,P
0.8,55908,0.017802260154144402,P
0.84,56661,0.018842498463284316,P
0.88,57458,0.018133245070688923,P
0.92,58225,0.02257789966428673,P
0.96,59180,0.016643812946238592,P
1.0,59884,0.01711664854130219,P
1.04,60608,0.01943354295711381,P
1.08,61430,0.017613125916118966,P
1.12,62175,0.018771573124024776,P
1.16,62969,0.016265544470187715,P
1.2,63657,0.016265544470187715,P
1.24,64345,0.015509007518085961,P
1.28,65001,0.8521915929831198,I
1.32,101047,0.04350087474585087,P
1.36,102887,0.03359496902926852,P
1.4,104308,0.029481299352215235,P
1.44,105555,0.03234195470234999,P
1.48,106923,0.024587450943307013,P
1.52,107963,0.02501300297886425,P
1.56,109021,0.021774079152678615,P
1.6,109942,0.021112109319589577,P
1.64,110835,0.01848787176698662,P
1.68,111617,0.018015036171923023,P
1.72,112379,0.024658376282566553,P
1.76,113422,0.018629722445505696,P
1.8,114210,0.019078916260816113,P
1.84,115017,0.031041656815925103,P
1.88,116330,0.020213721688968747,P
1.92,117185,0.021301243557615018,P
1.96,118086,0.019102558040569293,P
2.0,118894,0.019078916260816113,P
2.04,119701,0.018795214903777956,P
2.08,120496,0.020166438129462387,P
2.12,121349,0.019906378552177407,P
2.16,122191,0.016525604047472695,P
2.2,122890,0.018771573124024776,P
2.24,123684,0.02224691474774221,P
2.28,124625,0.01825145396945482,P
2.32,125397,0.018156886850442103,P
2.36,126165,0.017944110832663483,P
