time_pos,byte_pos,size,type
0.0,0,0.5740693553244226,I
0.04,53996,0.004795107600361371,B
0.08,54410,0.003335727026338345,B
0.12,49564,0.051333132571984526,P
0.16,57963,0.003578957122008849,B
0.2,58272,0.0029303435335541706,B
0.24,54698,0.03781648868400936,P
0.28,61409,0.00325465032778151,B
0.32,61690,0.0025481248117862356,B
0.36,58525,0.03340359980541592,P
0.4,64728,0.0031967384002409135,B
0.44,65004,0.002559707197294355,B
0.48,61910,0.03263916236188005,P
0.52,68061,0.0022006532465426577,B
0.56,67770,0.0033704741828627025,B
0.6,68251,0.0020384998494289886,B
0.64,65225,0.029477171118163496,P
0.68,70585,0.002663948666867428,B
0.72,70815,0.0022354004030670158,B
0.76,68427,0.024994787926521347,P
0.8,71008,0.012497393963260673,P
0.84,74159,0.002721860594408024,B
0.88,74394,0.0020500822349371075,B
0.92,72087,0.02399870277282309,P
0.96,76423,0.0023743890291644467,B
1.0,76628,0.0022701475595913734,B
1.04,74571,0.021450577961036856,P
1.08,79070,0.002189070861034539,B
1.12,78785,0.003300979869813987,B
1.16,79259,0.0017141930552016494,B
1.2,76824,0.022713057981421855,P
1.24,108191,0.0010308323102226134,B
1.28,107642,0.006358729643957469,B
1.32,108280,0.002432300956705043,B
1.36,79407,0.3270286548217471,P
1.4,108490,0.03039217957330492,P
1.44,111114,0.02496004076999699,P
1.48,115667,0.002304894716115731,B
1.52,113269,0.027774560448469966,P
1.56,115866,0.01767472028538998,P
1.6,120568,0.002096411776969585,B
1.64,120192,0.004354976951052839,B
1.68,120749,0.0022817299450994927,B
1.72,117392,0.03243067942273391,P
1.76,124272,0.002061664620445227,B
1.8,123920,0.004076999698857977,B
1.84,124450,0.0027681901364405015,B
1.88,120946,0.034446014501146656,P
1.92,124689,0.01840441057240149,P
1.96,129080,0.0021659060900183,B
2.0,128772,0.0035673747365007297,B
2.04,129267,0.0020037526929046305,B
2.08,126278,0.028886469457249413,P
2.12,132328,0.002107994162477704,B
2.16,131988,0.003938011072760546,B
2.2,132510,0.0023280594871319697,B
2.24,129440,0.029511918274687854,P
2.28,135129,0.002061664620445227,B
2.32,134824,0.003532627579976372,B
