time_pos,byte_pos,size,type,normal,has_blur,has_move,has_overexposure,has_block
0.0,0,0.943982439576439,I,1,0,0,0,0
0.04,612494,0.003533383560468,B,1,0,0,0,0
0.08,607583,0.0078058689453255,B,1,0,0,0,0
0.12,614717,0.0051641759729917,B,1,0,0,0,0
0.16,593899,0.0217502566988056,P,1,0,0,0,0
0.2,628003,0.0045204421259429,B,1,0,0,0,0
0.24,617966,0.0159534731427881,P,1,0,0,0,0
0.28,651909,0.0053215331356037,B,1,0,0,0,0
0.32,645827,0.0096671339697556,B,1,0,0,0,0
0.36,655257,0.0057475101010582,B,1,0,0,0,0
0.4,630847,0.0238102050093619,P,1,0,0,0,0
0.44,669178,0.0048001881928086,B,1,0,0,0,0
0.48,658873,0.0163794501082426,P,1,0,0,0,0
0.52,672198,0.0152080134532426,P,1,0,0,0,0
0.56,700830,0.0042232119298981,B,1,0,0,0,0
0.6,695731,0.0081046886076593,B,1,0,0,0,0
0.64,703487,0.0044234846823133,B,1,0,0,0,0
0.68,681766,0.0221968967260173,P,1,0,0,0,0
0.72,706270,0.0073608183844028,P,1,0,0,0,0
0.76,730927,0.0050799342596742,B,1,0,0,0,0
0.8,725877,0.0080268047594978,B,1,0,0,0,0
0.84,734123,0.0057761204942604,B,1,0,0,0,0
0.88,710901,0.0238038471442059,P,1,0,0,0,0
0.92,746107,0.0044664002721166,B,1,0,0,0,0
0.96,737757,0.0132720435132291,P,1,0,0,0,0
1.0,769746,0.0046682624908208,B,1,0,0,0,0
1.04,764681,0.0080506467538329,B,1,0,0,0,0
1.08,772683,0.006221171055183,B,1,0,0,0,0
1.12,748917,0.0250563465799453,P,1,0,0,0,0
1.16,1206214,0.0056394263934056,B,1,0,0,0,0
1.2,1199233,0.0110960641635751,B,1,0,0,0,0
1.24,1209762,0.0042343381939212,B,1,0,0,0,0
1.28,776597,0.671765674521809,P,1,0,0,0,0
1.32,1238107,0.0058381096795318,B,1,0,0,0,0
1.36,1231974,0.0097481967504951,B,1,0,0,0,0
1.4,1241780,0.0050688079956512,B,1,0,0,0,0
1.44,1212426,0.0310708870175572,P,1,0,0,0,0
1.48,1257716,0.0046921044851559,B,1,0,0,0,0
1.52,1244969,0.0202609267860037,P,1,0,0,0,0
1.56,1283982,0.0056664473203187,B,1,0,0,0,0
1.6,1278041,0.0094430192230052,B,1,0,0,0,0
1.64,1287547,0.0051260287820555,B,1,0,0,0,0
1.68,1260668,0.0276137978389616,P,1,0,0,0,0
1.72,1311637,0.0046158101032835,B,1,0,0,0,0
1.76,1305911,0.0091012839708682,B,1,0,0,0,0
1.8,1314541,0.0055615425452441,B,1,0,0,0,0
1.84,1290772,0.0240629301493144,P,1,0,0,0,0
1.88,1339364,0.0051244393157665,B,1,0,0,0,0
1.92,1333536,0.0092634095323472,B,1,0,0,0,0
1.96,1342588,0.0045569998505901,B,1,0,0,0,0
2.0,1318040,0.0246303696144908,P,1,0,0,0,0
2.04,1366162,0.0061877922631138,B,1,0,0,0,0
2.08,1360402,0.0091553258246945,B,1,0,0,0,0
2.12,1370055,0.0043964637554002,B,1,0,0,0,0
2.16,1345455,0.0237577526218246,P,1,0,0,0,0
2.2,1392477,0.0044314320137584,B,1,0,0,0,0
2.24,1386911,0.0088469693646267,B,1,0,0,0,0
2.28,1395265,0.0057252575730121,B,1,0,0,0,0
2.32,1372821,0.0223955800121435,P,1,0,0,0,0
2.36,1735716,0.0049352928273744,B,1,0,0,0,0
2.4,1729362,0.0100994688003662,B,1,0,0,0,0
2.44,1738821,0.0038926029417842,B,1,0,0,0,0
2.48,1398867,0.5253106611861869,P,1,0,0,0,0
2.52,1767326,0.0046301152998846,B,1,0,0,0,0
2.56,1762492,0.0076834800410718,B,1,0,0,0,0
2.6,1770239,0.0045760734460582,B,1,0,0,0,0
2.64,1741270,0.0337316535853591,P,1,0,0,0,0
2.68,1797632,0.0044775265361396,B,1,0,0,0,0
2.72,1791964,0.0090090949261057,B,1,0,0,0,0
2.76,1800449,0.0059811616455426,B,1,0,0,0,0
2.8,1773118,0.0299550816826725,P,1,0,0,0,0
2.84,1816953,0.0046173995695725,B,1,0,0,0,0
2.88,1804212,0.0202513899882697,P,1,0,0,0,0
2.92,1840705,0.0043058641769266,B,1,0,0,0,0
2.96,1835368,0.0084829815844435,B,1,0,0,0,0
3.0,1843414,0.0056283001293825,B,1,0,0,0,0
3.04,1819858,0.0246526221425369,P,1,0,0,0,0
3.08,1846955,0.0103490150077407,P,1,0,0,0,0
3.12,1853466,0.0105890244173811,P,1,0,0,0,0
3.16,1860128,0.0097720387448302,P,1,0,0,0,0
3.2,1877729,0.0046730308896878,B,1,0,0,0,0
3.24,1880669,0.0055917424047353,B,1,0,0,0,0
3.28,1866276,0.0182041574080255,P,1,0,0,0,0
3.32,1884187,0.0072686293396403,P,1,0,0,0,0
3.36,1906683,0.0048923772375711,B,1,0,0,0,0
3.4,1901680,0.0079520998439144,B,1,0,0,0,0
3.44,1909761,0.0045029579967638,B,1,0,0,0,0
3.48,1888760,0.0205359044540024,P,1,0,0,0,0
3.52,1922140,0.0040960546267774,B,1,0,0,0,0
3.56,1912594,0.0151730451948844,P,1,0,0,0,0
3.6,1924717,0.5561113389346125,P,1,0,0,0,0
3.64,2300406,0.0046555467605087,B,1,0,0,0,0
3.68,2294634,0.0091743994201626,B,1,0,0,0,0
3.72,2303335,0.0052976911412685,B,1,0,0,0,0
3.76,2274590,0.0318592622969059,P,1,0,0,0,0
3.8,2306668,0.0139205457591449,P,1,0,0,0,0
3.84,2338089,0.0057983730223065,B,1,0,0,0,0
3.88,2332463,0.0089423373419673,B,1,0,0,0,0
3.92,2341737,0.0041500964806037,B,1,0,0,0,0
3.96,2315426,0.0270797371658544,P,1,0,0,0,0
4.0,2357051,0.0062593182461193,B,1,0,0,0,0
4.04,2360989,0.0037320668465942,B,1,0,0,0,0
4.08,2344348,0.0201909902692873,P,1,0,0,0,0
4.12,2382878,0.0038798872114721,B,1,0,0,0,0
4.16,2377990,0.0077693112206783,B,1,0,0,0,0
4.2,2385319,0.0043138115083717,B,1,0,0,0,0
4.24,2363337,0.0232904495328558,P,1,0,0,0,0
4.28,2388033,0.0092904304592603,P,1,0,0,0,0
4.32,2414862,0.0052468282200202,B,1,0,0,0,0
4.36,2409611,0.0083462874835887,B,1,0,0,0,0
4.4,2418163,0.0038274348239348,B,1,0,0,0,0
4.44,2393878,0.025007073124986,P,1,0,0,0,0
4.48,2420571,0.0115538304548098,P,1,0,0,0,0
