,time_pos,pkt_size,type,byte_pos,size,is_normal,has_move,has_blur,has_block,has_overexposure
0,0.0,311970,I,0,0.8164509755172008,1,0,0,0,0
1,0.04,437,B,415782,0.0011436646994935947,1,0,0,0,0
2,0.08,616,B,415166,0.0016121223223982937,1,0,0,0,0
3,0.12,208,B,416219,0.0005443529919786446,1,0,0,0,0
4,0.16,103196,P,311970,0.27007236230878945,1,0,0,0,0
5,0.2,823,B,430177,0.0021538582326847333,1,0,0,0,0
6,0.24,1090,B,429087,0.002852619044503474,1,0,0,0,0
7,0.28,717,B,431000,0.001876447573311001,1,0,0,0,0
8,0.32,12660,P,416427,0.03313225422331558,1,0,0,0,0
9,0.36,786,B,443876,0.0020570262100731472,1,0,0,0,0
10,0.4,1018,B,442858,0.0026641891626647124,1,0,0,0,0
11,0.44,640,B,444662,0.0016749322830112141,1,0,0,0,0
12,0.48,11141,P,431717,0.029156907132856152,1,0,0,0,0
13,0.52,724,B,456915,0.001894767145156436,1,0,0,0,0
14,0.56,1036,B,455879,0.002711296633124403,1,0,0,0,0
15,0.6,797,B,457639,0.0020858141086874025,1,0,0,0,0
16,0.64,10577,P,445302,0.02768087305845252,1,0,0,0,0
17,0.68,1175,B,470906,0.003075070988340901,1,0,0,0,0
18,0.72,1631,B,469275,0.004268460239986391,1,0,0,0,0
19,0.76,1323,B,472081,0.003462399078787244,1,0,0,0,0
20,0.8,10839,P,458436,0.028366548461810234,1,0,0,0,0
21,0.84,1414,B,487505,0.0037005535127779014,1,0,0,0,0
22,0.88,2186,B,485319,0.005720940579160179,1,0,0,0,0
23,0.92,1495,B,488919,0.003912537129846508,1,0,0,0,0
24,0.96,11915,P,473404,0.03118252836262284,1,0,0,0,0
25,1.0,6467,P,490414,0.01692466730348988,1,0,0,0,0
26,1.04,5928,P,496881,0.01551406027139137,1,0,0,0,0
27,1.08,1981,B,511328,0.005184438832258149,1,0,0,0,0
28,1.12,1885,B,513309,0.004933198989806467,1,0,0,0,0
29,1.16,8519,P,502809,0.022294918935894584,1,0,0,0,0
30,1.2,5719,P,515194,0.014967090197720521,1,0,0,0,0
31,1.24,5030,P,520913,0.013163920911791261,1,0,0,0,0
32,1.28,2045,B,539293,0.0053519320605592705,1,0,0,0,0
33,1.32,3260,B,536033,0.008531686316588372,1,0,0,0,0
34,1.36,2242,B,541338,0.00586749715392366,1,0,0,0,0
35,1.4,10090,P,525943,0.026406354274348672,1,0,0,0,0
36,1.44,2186,B,557213,0.005720940579160179,1,0,0,0,0
37,1.48,3376,B,553837,0.008835267792884155,1,0,0,0,0
38,1.52,2120,B,559399,0.005548213187474647,1,0,0,0,0
39,1.56,10257,P,543580,0.02684340691694691,1,0,0,0,0
40,1.6,1920,B,575585,0.005024796849033643,1,0,0,0,0
41,1.64,3298,B,572287,0.008631135420892163,1,0,0,0,0
42,1.68,2072,B,577505,0.005422593266248806,1,0,0,0,0
43,1.72,10768,P,561519,0.028180735661663677,1,0,0,0,0
44,1.76,6098,P,579577,0.015958964159066225,1,0,0,0,0
45,1.8,5236,P,585675,0.013703039740385496,1,0,0,0,0
46,1.84,5261,P,590911,0.013768466782690622,1,0,0,0,0
47,1.88,5187,P,596172,0.01357480273746745,1,0,0,0,0
48,1.92,5193,P,601359,0.01359050522762068,1,0,0,0,0
49,1.96,4726,P,606552,0.012368328077360935,1,0,0,0,0
50,2.0,2303,B,753633,0.006027139137148166,1,0,0,0,0
51,2.04,2851,B,750782,0.007461299904476518,1,0,0,0,0
52,2.08,1455,B,755936,0.0038078538621583074,1,0,0,0,0
53,2.12,139504,P,611278,0.3650933643893694,1,0,0,0,0
54,2.16,1973,B,770251,0.005163502178720508,1,0,0,0,0
55,2.2,12860,P,757391,0.033655670561756584,1,0,0,0,0
56,2.24,2300,B,783967,0.006019287892071551,1,0,0,0,0
57,2.28,1667,B,786267,0.004362675180905772,1,0,0,0,0
58,2.32,11743,P,772224,0.030732390311563575,1,0,0,0,0
59,2.36,1756,B,798094,0.004595595451512019,1,0,0,0,0
60,2.4,10160,P,787934,0.026589549992803024,1,0,0,0,0
61,2.44,7377,P,799850,0.019306211643396447,1,0,0,0,0
62,2.48,6711,P,807227,0.017563235236387902,1,0,0,0,0
63,2.52,2482,B,826258,0.0064955967600528654,1,0,0,0,0
64,2.56,2142,B,828740,0.005605788984703157,1,0,0,0,0
65,2.6,12320,P,813938,0.032242446447965874,1,0,0,0,0
66,2.64,7647,P,830882,0.020012823700291806,1,0,0,0,0
67,2.68,6984,P,838529,0.018277698538359876,1,0,0,0,0
68,2.72,6700,P,845513,0.017534447337773647,1,0,0,0,0
69,2.76,6180,P,852213,0.016173564857827036,1,0,0,0,0
70,2.8,7067,P,858393,0.018494916318812893,1,0,0,0,0
71,2.84,7120,P,865460,0.018633621648499757,1,0,0,0,0
72,2.88,2190,B,882634,0.005731408905928999,1,0,0,0,0
73,2.92,10054,P,872580,0.026312139333429293,1,0,0,0,0
74,2.96,7237,P,884824,0.018939820206487747,1,0,0,0,0
75,3.0,2356,B,902076,0.006165844466835033,1,0,0,0,0
76,3.04,10015,P,892061,0.0262100731474333,1,0,0,0,0
77,3.08,7254,P,904432,0.01898431059525523,1,0,0,0,0
78,3.12,2544,B,929129,0.006657855824969576,1,0,0,0,0
79,3.16,3732,B,925397,0.009766948875309142,1,0,0,0,0
80,3.2,2552,B,931673,0.006678792478507217,1,0,0,0,0
81,3.24,13711,P,911686,0.03588280708182306,1,0,0,0,0
82,3.28,2553,B,946031,0.006681409560199422,1,0,0,0,0
83,3.32,2058,B,948584,0.005385954122557935,1,0,0,0,0
84,3.36,11806,P,934225,0.030897266458172493,1,0,0,0,0
85,3.4,1446,B,961048,0.003784300126928462,1,0,0,0,0
86,3.44,10406,P,950642,0.02723335208908546,1,0,0,0,0
87,3.48,984,B,976098,0.0025752083851297417,1,0,0,0,0
88,3.52,1423,B,974675,0.0037241072480077467,1,0,0,0,0
89,3.56,1104,B,977082,0.0028892581881943447,1,0,0,0,0
90,3.6,12181,P,962494,0.031878672092749374,1,0,0,0,0
91,3.64,1476,B,991953,0.003862812577694613,1,0,0,0,0
92,3.68,2140,B,989813,0.005600554821318747,1,0,0,0,0
93,3.72,1763,B,993429,0.004613915023357454,1,0,0,0,0
94,3.76,11627,P,978186,0.030428808835267794,1,0,0,0,0
95,3.8,1807,B,1009585,0.0047290666178144754,1,0,0,0,0
96,3.84,3126,B,1006459,0.0081809973698329,1,0,0,0,0
97,3.88,1981,B,1011392,0.005184438832258149,1,0,0,0,0
98,3.92,11267,P,995192,0.029486659426073984,1,0,0,0,0
99,3.96,2050,B,1163047,0.005365017469020295,1,0,0,0,0
100,4.0,4136,B,1158911,0.010824249878959972,1,0,0,0,0
101,4.04,2468,B,1165097,0.006458957616361995,1,0,0,0,0
102,4.08,145538,P,1013373,0.3808848353201345,1,0,0,0,0
103,4.12,2820,B,1187134,0.007380170372018163,1,0,0,0,0
104,4.16,4054,B,1183080,0.01060964918019916,1,0,0,0,0
105,4.2,2727,B,1189954,0.007136781774643095,1,0,0,0,0
106,4.24,15515,P,1167565,0.04060402245456092,1,0,0,0,0
107,4.28,2720,B,1211447,0.0071184622027976605,1,0,0,0,0
108,4.32,4146,B,1207301,0.010850420695882022,1,0,0,0,0
109,4.36,2397,B,1214167,0.006273144816215439,1,0,0,0,0
110,4.4,14620,P,1192681,0.03826173434003743,1,0,0,0,0
111,4.44,2902,B,1229177,0.007594771070778974,1,0,0,0,0
112,4.48,2435,B,1232079,0.006372593920519229,1,0,0,0,0
113,4.52,12613,P,1216564,0.03300925138378195,1,0,0,0,0
114,4.56,2566,B,1251770,0.006715431622198087,1,0,0,0,0
115,4.6,4006,B,1247764,0.010484029258973319,1,0,0,0,0
116,4.64,2352,B,1254336,0.006155376140066212,1,0,0,0,0
117,4.68,13250,P,1234514,0.03467633242171654,1,0,0,0,0
118,4.72,7638,P,1256688,0.019989269965061958,1,0,0,0,0
