frame,time,blurriness,lighting_change,block,movement,normal,has_blur,has_move,has_overexposure,has_block
1,0.04,776.0896767004822,3,0.9805270833333334,0.0057512091503267,1,0,0,0,0
2,0.08,779.6288519622871,4,0.98048125,0.0049738970588235,1,0,0,0,0
3,0.12,781.2447540863889,5,0.9805,0.0046721078431372,1,0,0,0,0
4,0.16,783.2967332687327,2,0.9804854166666668,0.0044354575163398,1,0,0,0,0
5,0.2,783.8901728466624,2,0.9804583333333332,0.0044130065359477,1,0,0,0,0
6,0.24,785.2220895441624,2,0.9804291666666668,0.0043152450980392,1,0,0,0,0
7,0.28,785.9361270197876,2,0.9804395833333334,0.0042613071895424,1,0,0,0,0
8,0.32,786.9981727549957,5,0.9804125,0.0042432516339869,1,0,0,0,0
9,0.36,787.5330437412111,3,0.9804145833333332,0.004262385620915,1,0,0,0,0
10,0.4,788.3519499949826,3,0.9804041666666666,0.0041733660130718,1,0,0,0,0
11,0.44,788.2196082881771,3,0.9804020833333332,0.0042139705882352,1,0,0,0,0
12,0.48,788.6394249149306,5,0.9804104166666666,0.0042826552287581,1,0,0,0,0
13,0.52,788.6998664965105,4,0.9804,0.0042247630718954,1,0,0,0,0
14,0.56,788.9263852549958,3,0.9803916666666668,0.0040913562091503,1,0,0,0,0
15,0.6,773.1934641192317,8,0.98065,0.0231981290849673,1,0,0,0,0
16,0.64,778.0661204881771,3,0.9805291666666668,0.0055382434640522,1,0,0,0,0
17,0.68,780.0792036349828,2,0.9805229166666668,0.0050045588235294,1,0,0,0,0
18,0.72,782.2017703374829,3,0.9804833333333334,0.0046765032679738,1,0,0,0,0
19,0.76,783.5375767503081,3,0.9805041666666666,0.0045341830065359,1,0,0,0,0
20,0.8,785.7398581631771,4,0.9804770833333334,0.0043081699346405,1,0,0,0,0
21,0.84,787.1067916215103,4,0.9804583333333332,0.0042598366013071,1,0,0,0,0
22,0.88,788.0846812242664,2,0.9804375,0.0044749183006535,1,0,0,0,0
23,0.92,788.3878958166493,2,0.9804416666666668,0.0041807761437908,1,0,0,0,0
24,0.96,788.9501833055558,1,0.9804604166666666,0.00418625,1,0,0,0,0
25,1.0,789.6129458224826,1,0.9804645833333332,0.0041535620915032,1,0,0,0,0
26,1.04,790.6540999074828,4,0.9804479166666666,0.0044189215686274,1,0,0,0,0
27,1.08,790.658374829844,4,0.9804041666666666,0.0040765849673202,1,0,0,0,0
28,1.12,791.770431203954,2,0.9804,0.0042566176470588,1,0,0,0,0
29,1.16,791.3231708270661,2,0.9803958333333334,0.0043012745098039,1,0,0,0,0
30,1.2,772.2501645042317,4,0.9806895833333332,0.0231499183006535,1,0,0,0,0
31,1.24,776.4945581988887,3,0.9806416666666666,0.0056772957516339,1,0,0,0,0
32,1.28,779.8276873433164,3,0.9806,0.0050674836601307,1,0,0,0,0
33,1.32,781.2605019564194,3,0.9806,0.0046902696078431,1,0,0,0,0
34,1.36,783.0942685418362,3,0.9805770833333334,0.0045641176470588,1,0,0,0,0
35,1.4,785.3360478203084,3,0.9805604166666668,0.0042574428104575,1,0,0,0,0
36,1.44,786.3572956419272,2,0.98055625,0.0041730718954248,1,0,0,0,0
37,1.48,786.9145893751695,2,0.9805041666666666,0.0040689052287581,1,0,0,0,0
38,1.52,787.5865394504123,2,0.9804875,0.004011952614379,1,0,0,0,0
39,1.56,788.1409519315584,2,0.9805083333333332,0.0040026715686274,1,0,0,0,0
40,1.6,788.5529185849608,2,0.9805145833333332,0.0039201225490196,1,0,0,0,0
41,1.64,788.809333198889,2,0.9805104166666668,0.004103725490196,1,0,0,0,0
42,1.68,789.4995999843749,3,0.9804645833333332,0.0041441503267973,1,0,0,0,0
43,1.72,789.6607874985938,2,0.9804645833333332,0.0041286683006535,1,0,0,0,0
44,1.76,790.3747041662325,3,0.9804395833333334,0.0042437009803921,1,0,0,0,0
45,1.8,771.9184781915106,7,0.9805833333333334,0.0230996241830065,1,0,0,0,0
46,1.84,776.0518758317318,3,0.98065,0.005592998366013,1,0,0,0,0
47,1.88,779.1011659997221,2,0.9806541666666668,0.0051708578431372,1,0,0,0,0
48,1.92,782.1535223696833,2,0.9806458333333332,0.00482875,1,0,0,0,0
49,1.96,784.2955494803994,3,0.9806395833333332,0.0045709722222222,1,0,0,0,0
50,2.0,785.1452620610936,4,0.98066875,0.0042706781045751,1,0,0,0,0
51,2.04,785.5633055024957,3,0.98065625,0.0043516339869281,1,0,0,0,0
52,2.08,786.6753556780861,3,0.9806583333333332,0.0043589460784313,1,0,0,0,0
53,2.12,787.131186524844,4,0.9806666666666668,0.0039842156862745,1,0,0,0,0
54,2.16,787.7397179362456,2,0.9806979166666666,0.004083202614379,1,0,0,0,0
55,2.2,787.744074136649,2,0.9806875,0.0040527859477124,1,0,0,0,0
56,2.24,788.6984122065974,2,0.9806895833333332,0.0040561928104575,1,0,0,0,0
57,2.28,788.9803622703994,3,0.9806541666666668,0.0041323366013071,1,0,0,0,0
58,2.32,789.4194475641277,3,0.9806479166666666,0.0041982434640522,1,0,0,0,0
59,2.36,789.8505953549305,2,0.9806041666666668,0.0042012908496732,1,0,0,0,0
60,2.4,773.0499061046485,6,0.9805291666666668,0.0230938807189542,1,0,0,0,0
61,2.44,777.6677267454817,4,0.98056875,0.0054761519607843,1,0,0,0,0
62,2.48,780.910726931558,3,0.980575,0.00500602124183,1,0,0,0,0
63,2.52,782.9793998298439,4,0.9805729166666668,0.0046538316993464,1,0,0,0,0
64,2.56,785.2354913953992,5,0.9805729166666668,0.0046029901960784,1,0,0,0,0
65,2.6,786.7465391953081,4,0.9805625,0.0043760375816993,1,0,0,0,0
66,2.64,787.713380993711,2,0.9805583333333332,0.0042990931372549,1,0,0,0,0
67,2.68,788.1152434588499,2,0.9805395833333334,0.0042965196078431,1,0,0,0,0
68,2.72,789.4397619622222,2,0.9805729166666668,0.0041742156862745,1,0,0,0,0
69,2.76,789.4026244122223,2,0.98055,0.0040943218954248,1,0,0,0,0
70,2.8,789.7834393436415,2,0.9805041666666666,0.0040980637254901,1,0,0,0,0
71,2.84,790.2862288953993,2,0.9804791666666668,0.0040992075163398,1,0,0,0,0
72,2.88,790.9832289208159,2,0.9804854166666668,0.0039108088235294,1,0,0,0,0
73,2.92,791.2440916041667,2,0.980475,0.004136135620915,1,0,0,0,0
74,2.96,792.3056187255861,4,0.9804708333333332,0.0041778267973856,1,0,0,0,0
75,3.0,771.1221041499828,7,0.9807583333333332,0.023034885620915,1,0,0,0,0
76,3.04,775.9011311661415,2,0.9807395833333332,0.005495204248366,1,0,0,0,0
77,3.08,778.4521288822222,2,0.980725,0.0053052287581699,1,0,0,0,0
78,3.12,779.7521665322225,2,0.9806833333333334,0.0048375081699346,1,0,0,0,0
79,3.16,781.0773435263498,2,0.9806666666666668,0.0046295343137254,1,0,0,0,0
80,3.2,783.3971226810374,3,0.98059375,0.0043979656862745,1,0,0,0,0
81,3.24,783.6950665132638,4,0.98059375,0.0044192156862745,1,0,0,0,0
82,3.28,785.0938415663888,2,0.9805666666666668,0.0044092892156862,1,0,0,0,0
83,3.32,785.6043749435939,2,0.9805729166666668,0.0044096650326797,1,0,0,0,0
