,Time,Frame,Lighting_Changes,Blurriness,Blocking_Camera,Camera_Movement,File_Size,Duration
0,3,1,8182,94.12045989430432,2,0.0004166666666666667,"[800, 600]",202.52
1,3,2,8428,94.40541024601893,2,0.0004166666666666667,"[800, 600]",202.52
2,5,3,7214,94.5839014253107,2,0.0004166666666666667,"[800, 600]",202.52
3,5,4,6646,94.76393577212487,1,0.00020833333333333335,"[800, 600]",202.52
4,3,5,5954,94.87088727179227,1,0.00020833333333333335,"[800, 600]",202.52
5,3,6,6516,94.99408569646863,1,0.00020833333333333335,"[800, 600]",202.52
6,3,7,6794,95.07264319245218,2,0.0004166666666666667,"[800, 600]",202.52
7,3,8,5992,95.15397888158132,2,0.0004166666666666667,"[800, 600]",202.52
8,3,9,5854,95.19960196169801,2,0.0004166666666666667,"[800, 600]",202.52
9,3,10,6732,95.24520782063784,1,0.00020833333333333335,"[800, 600]",202.52
10,3,11,6600,95.27765957603057,1,0.00020833333333333335,"[800, 600]",202.52
11,3,12,6408,95.31389155682899,2,0.0004166666666666667,"[800, 600]",202.52
12,3,13,6030,95.32823356996784,2,0.0004166666666666667,"[800, 600]",202.52
13,3,14,5892,95.35692358225832,2,0.0004166666666666667,"[800, 600]",202.52
14,3,15,19822,93.84193686959593,2,0.0004166666666666667,"[800, 600]",202.52
15,3,16,7686,94.25086920973864,1,0.00020833333333333335,"[800, 600]",202.52
16,4,17,7316,94.48756959560781,1,0.00020833333333333335,"[800, 600]",202.52
17,4,18,7004,94.68320565802826,1,0.00020833333333333335,"[800, 600]",202.52
18,4,19,7392,94.81273652667664,1,0.00020833333333333335,"[800, 600]",202.52
19,4,20,6896,94.98311426667165,2,0.0004166666666666667,"[800, 600]",202.52
20,4,21,6010,95.09849982490235,2,0.0004166666666666667,"[800, 600]",202.52
21,4,22,6848,95.22724151156211,1,0.00020833333333333335,"[800, 600]",202.52
22,4,23,6664,95.27528562127146,1,0.00020833333333333335,"[800, 600]",202.52
23,4,24,5926,95.33143728968336,0,0.0,"[800, 600]",202.52
24,4,25,4876,95.37324257551435,0,0.0,"[800, 600]",202.52
25,4,26,5770,95.4350100991333,2,0.0004166666666666667,"[800, 600]",202.52
26,4,27,5778,95.45287184860757,2,0.0004166666666666667,"[800, 600]",202.52
27,4,28,6118,95.51708198492346,1,0.00020833333333333335,"[800, 600]",202.52
28,4,29,6214,95.51135589650409,1,0.00020833333333333335,"[800, 600]",202.52
29,4,30,21012,93.87195471645082,2,0.0004166666666666667,"[800, 600]",202.52
30,3,31,7770,94.26317660699435,2,0.0004166666666666667,"[800, 600]",202.52
31,3,32,9346,94.56456693232225,2,0.0004166666666666667,"[800, 600]",202.52
32,3,33,9442,94.71101304984326,2,0.0004166666666666667,"[800, 600]",202.52
33,3,34,8248,94.86082596895031,1,0.00020833333333333335,"[800, 600]",202.52
34,3,35,6510,94.99466106017918,1,0.00020833333333333335,"[800, 600]",202.52
35,3,36,6928,95.07287930127804,1,0.00020833333333333335,"[800, 600]",202.52
36,3,37,5844,95.15522252366465,1,0.00020833333333333335,"[800, 600]",202.52
37,3,38,5930,95.23292698368456,2,0.0004166666666666667,"[800, 600]",202.52
38,3,39,6522,95.29628794930656,2,0.0004166666666666667,"[800, 600]",202.52
39,3,40,6308,95.30134301758214,1,0.00020833333333333335,"[800, 600]",202.52
40,3,41,6250,95.34176887684511,1,0.00020833333333333335,"[800, 600]",202.52
41,3,42,5366,95.3937216565613,1,0.00020833333333333335,"[800, 600]",202.52
42,3,43,6726,95.38843066212715,1,0.00020833333333333335,"[800, 600]",202.52
43,3,44,6976,95.44545665576224,2,0.0004166666666666667,"[800, 600]",202.52
44,3,45,20948,93.77436115757749,2,0.0004166666666666667,"[800, 600]",202.52
45,3,46,9232,94.15692546197296,2,0.0004166666666666667,"[800, 600]",202.52
46,3,47,7286,94.42679210019384,2,0.0004166666666666667,"[800, 600]",202.52
47,3,48,6994,94.65128362814998,2,0.0004166666666666667,"[800, 600]",202.52
48,3,49,6592,94.83874784221156,2,0.0004166666666666667,"[800, 600]",202.52
49,3,50,6174,94.95026444969906,2,0.0004166666666666667,"[800, 600]",202.52
50,3,51,6590,95.0034436555975,2,0.0004166666666666667,"[800, 600]",202.52
51,3,52,7350,95.09011572695,2,0.0004166666666666667,"[800, 600]",202.52
52,3,53,6942,95.13013449239742,2,0.0004166666666666667,"[800, 600]",202.52
53,3,54,6880,95.17438729609117,1,0.00020833333333333335,"[800, 600]",202.52
54,4,55,5654,95.22977096319643,1,0.00020833333333333335,"[800, 600]",202.52
55,4,56,7498,95.28555792306828,2,0.0004166666666666667,"[800, 600]",202.52
56,4,57,6756,95.31608711389173,2,0.0004166666666666667,"[800, 600]",202.52
