,Time,Frame,Lighting_Changes,Blurriness,Blocking_Camera,Camera_Movement,File_Size,Duration
0,3,1,6622,81.58794378553418,0,0.0,"[720, 576]",723.56
1,3,2,7414,81.71602169765717,0,0.0,"[720, 576]",723.56
2,5,3,6922,81.82372263749153,0,0.0,"[720, 576]",723.56
3,5,4,7824,81.95244145897877,0,0.0,"[720, 576]",723.56
4,3,5,6642,82.00250695492203,0,0.0,"[720, 576]",723.56
5,3,6,8356,82.13458113810213,0,0.0,"[720, 576]",723.56
6,3,7,7614,82.15574388911003,0,0.0,"[720, 576]",723.56
7,3,8,8274,82.25970428748921,0,0.0,"[720, 576]",723.56
8,3,9,8034,82.32249898227415,0,0.0,"[720, 576]",723.56
9,3,10,8156,82.37243105872106,0,0.0,"[720, 576]",723.56
10,3,11,7280,82.27318285274289,2,0.00048225308641975306,"[720, 576]",723.56
11,3,12,7944,82.44699147704839,2,0.00048225308641975306,"[720, 576]",723.56
12,3,13,7462,82.42705564685228,0,0.0,"[720, 576]",723.56
13,3,14,7644,82.366427889908,0,0.0,"[720, 576]",723.56
14,3,15,6728,82.44944879511192,0,0.0,"[720, 576]",723.56
15,3,16,6768,82.36187201617591,0,0.0,"[720, 576]",723.56
16,4,17,8160,82.36146574012831,0,0.0,"[720, 576]",723.56
17,4,18,6332,82.34495758430762,0,0.0,"[720, 576]",723.56
18,4,19,7608,82.36674425364293,0,0.0,"[720, 576]",723.56
19,4,20,6798,82.40805992318978,0,0.0,"[720, 576]",723.56
20,4,21,6204,82.44980548766338,0,0.0,"[720, 576]",723.56
21,4,22,7464,82.54495008273697,0,0.0,"[720, 576]",723.56
22,4,23,6278,82.46320823197681,0,0.0,"[720, 576]",723.56
23,4,24,6498,82.36340263741079,0,0.0,"[720, 576]",723.56
24,4,25,6916,82.36905378521922,0,0.0,"[720, 576]",723.56
25,4,26,7370,82.29841639228218,0,0.0,"[720, 576]",723.56
26,4,27,6954,82.32370784424819,0,0.0,"[720, 576]",723.56
27,4,28,8126,82.25082698211807,0,0.0,"[720, 576]",723.56
28,4,29,8432,82.44166225792169,0,0.0,"[720, 576]",723.56
29,4,30,17824,82.15098286017374,0,0.0,"[720, 576]",723.56
30,3,31,5780,82.15010059304686,0,0.0,"[720, 576]",723.56
31,3,32,9936,82.22807668247464,1,0.00024112654320987653,"[720, 576]",723.56
32,3,33,7696,82.26980379030186,0,0.0,"[720, 576]",723.56
33,3,34,7202,82.3292477152564,1,0.00024112654320987653,"[720, 576]",723.56
34,3,35,7298,82.34320146548228,0,0.0,"[720, 576]",723.56
35,3,36,7164,82.27770070915784,0,0.0,"[720, 576]",723.56
36,3,37,7886,82.13662096080239,0,0.0,"[720, 576]",723.56
37,3,38,6932,82.28367176419512,0,0.0,"[720, 576]",723.56
38,3,39,6954,82.31200596808178,0,0.0,"[720, 576]",723.56
39,3,40,6948,82.27236573219983,3,0.0007233796296296297,"[720, 576]",723.56
40,3,41,8058,82.38136935278432,2,0.00048225308641975306,"[720, 576]",723.56
41,3,42,7796,82.3868593078247,0,0.0,"[720, 576]",723.56
42,3,43,7606,82.3601651486527,0,0.0,"[720, 576]",723.56
43,3,44,6104,82.3193596332621,0,0.0,"[720, 576]",723.56
44,3,45,7556,82.29907148147272,0,0.0,"[720, 576]",723.56
45,3,46,6456,82.29130419331601,0,0.0,"[720, 576]",723.56
46,3,47,6898,82.24519129607185,0,0.0,"[720, 576]",723.56
47,3,48,6916,82.28067411770874,0,0.0,"[720, 576]",723.56
