frame,time,blurriness,lighting_change,block,movement,normal,has_blur,has_move,has_overexposure,has_block
1,0.04,312.9779048407099,24,1.0,0.0047784531590413,0,0,1,0,0
2,0.08,313.5304807070293,28,1.0,0.0039875381263616,0,0,1,0,0
3,0.12,313.5796940725617,26,1.0,0.0035962309368191,0,0,1,0,0
4,0.16,313.89044616000007,27,1.0,0.0031050653594771,0,0,1,0,0
5,0.2,314.5152791476542,23,1.0,0.0031660130718954,0,0,1,0,0
6,0.24,315.30217432869597,12,1.0,0.0030050653594771,0,0,1,0,0
7,0.28,315.4258446184876,32,1.0,0.0027355991285403,0,0,1,0,0
8,0.32,315.492559550733,15,1.0,0.0027714488017429,0,0,1,0,0
9,0.36,316.05170494104163,19,1.0,0.0030344880174291,0,0,1,0,0
10,0.4,316.58915150239966,17,1.0,0.002694477124183,0,0,1,0,0
11,0.44,316.37574972202935,91,1.0,0.0033059259259259,0,0,1,0,0
12,0.48,316.0952054027701,7,1.0,0.002553954248366,0,0,1,0,0
13,0.52,316.6820700513581,10,1.0,0.0021653267973856,0,0,1,0,0
14,0.56,316.87512005135795,10,1.0,0.0022364488017429,0,0,1,0,0
15,0.6,316.7825400764737,2,1.0,0.0021965032679738,0,0,1,0,0
16,0.64,316.81721357184415,4,1.0,0.0020160675381263,0,0,1,0,0
17,0.68,317.19505014765434,0,1.0,0.0023150871459694,0,0,1,0,0
18,0.72,317.4701403209876,0,1.0,0.0021457407407407,0,0,1,0,0
19,0.76,317.4228398871528,6,1.0,0.0020665468409586,0,0,1,0,0
20,0.8,317.5771894598072,2,1.0,0.0017983115468409,0,0,1,0,0
21,0.84,317.9797768024691,0,1.0,0.001993082788671,0,0,1,0,0
22,0.88,317.6984848051775,0,1.0,0.0019257407407407,0,0,1,0,0
23,0.92,317.98167354777,79,1.0,0.0030771895424836,0,0,1,0,0
24,0.96,318.0780705476543,0,1.0,0.0018256862745098,0,0,1,0,0
25,1.0,318.69167260628853,2,1.0,0.0018290631808278,0,0,1,0,0
26,1.04,318.2482182255479,1,1.0,0.0020759477124183,0,0,1,0,0
27,1.08,319.0268768308334,1,1.0,0.0017609259259259,0,0,1,0,0
28,1.12,318.65987733083335,1,1.0,0.0018954575163398,0,0,1,0,0
29,1.16,318.84049399749983,1,1.0,0.0018735729847494,0,0,1,0,0
30,1.2,318.78631005033935,0,1.0,0.0017491830065359,0,0,1,0,0
31,1.24,319.1006984147839,0,1.0,0.0017117211328976,0,0,1,0,0
32,1.28,314.2704831863889,4,1.0,0.0371709477124183,0,0,1,0,0
33,1.32,315.9263535542515,14,1.0,0.0043787363834422,0,0,1,0,0
34,1.36,316.0317977527084,7,1.0,0.0036580501089324,0,0,1,0,0
35,1.4,316.3176041875849,1,1.0,0.0029964488017429,0,0,1,0,0
36,1.44,316.0702519455555,0,1.0,0.0033166993464052,0,0,1,0,0
37,1.48,316.065529807284,3,1.0,0.0030007080610021,0,0,1,0,0
38,1.52,316.4867720435108,2,1.0,0.0027562527233115,0,0,1,0,0
39,1.56,316.74751886111113,0,1.0,0.0022623093681917,0,0,1,0,0
40,1.6,317.5876506833256,5,1.0,0.0023350326797385,0,0,1,0,0
41,1.64,318.3845095066667,4,1.0,0.0021515577342047,0,0,1,0,0
42,1.68,318.35099041351083,6,1.0,0.0020766666666666,0,0,1,0,0
43,1.72,318.7565652663888,12,1.0,0.0028296405228758,0,0,1,0,0
44,1.76,318.8210872844444,1,1.0,0.0018544008714596,0,0,1,0,0
45,1.8,318.8557982222222,5,1.0,0.0023457952069716,0,0,1,0,0
